"Location: Morogoro R1,R2,R3"																								
"Period: 2018-07-14"																								
"Parameter: Number of survived plants (Maize, per plot)"																								
"Field"	"Control"	"PSL"	"SL"	"PS"	"PL"	"S"	"L"	"P"																
"Morogoro R1"	66	42	" "	78	40	13.857	" "	61																
"Morogoro R2"	66	40	46	69	34	47	42	64																
"Morogoro R3"	41	52	43	52	43	75	31	37																
"Mean"	57.6666666667	44.6666666667	44.5	66.3333333333	39	45.2856666667	36.5	54																
"Standard deviation"	11.7851130198	5.2493385827	1.5	10.7806410859	3.7416573868	24.990942577	5.5	12.0830459736																
" "																								
" "																								
" "																								
"Location: Morogoro R1,R2,R3"																								
"Period: 2018-07-14"																								
"Parameter: Weight of harvested kernels (Maize, kg per plot)"																								
"Field"	"Control"	"PSL"	"SL"	"PS"	"PL"	"S"	"L"	"P"																
"Morogoro R1"	2.965	7.558	7.343	10.252	5.848	" "	3.055	3.481																
"Morogoro R2"	4.665	7.782	8.961	10.298	3.137	10.09	" "	3.812																
"Morogoro R3"	1.947	7.724	8.025	9.584	3.202	13.707	1.549	1.238																
"Mean"	3.1923333333	7.688	8.1096666667	10.0446666667	4.0623333333	11.8985	2.302	2.8436666667																
"Standard deviation"	1.1212021326	0.0949245314	0.6632532615	0.3262814055	1.2629358214	1.8085	0.753	1.1433909607																
" "																								
" "																								
" "																								
"Location: Morogoro R1,R2,R3"																								
"Period: 2018-04-17"																								
"Parameter: Plant size (Maize, cm)"																								
" "	"Morogoro R1"	" "	" "	" "	" "	" "	" "	" "	"Morogoro R2"	" "	" "	" "	" "	" "	" "	" "	"Morogoro R3"							
"Standard deviation"	31.2056607314	54.9512719621	29.531255741	48.221834564	42.8927471773	52.6942968866	38.4612220295	35.7001080707	34.6182247899	50.975661629	48.3782657525	56.2534789502	24.4361864226	36.6063879132	36.786712577	22.2766659029	20.6204041344	39.9400375215	40.9855951575	50.5924841385	31.9468485803	25.8820627447	14.7058266639	28.5228553395
" "																								
" "																								
" "																								
"Location: Morogoro R1,R2,R3"																								
"Period: 2018-04-04"																								
"Parameter: Plant size (Maize, cm)"																								
" "	"Morogoro R1"	" "	" "	" "	" "	" "	" "	" "	"Morogoro R2"	" "	" "	" "	" "	" "	" "	" "	"Morogoro R3"							
"Sample number"	"Control"	"PSL"	"SL"	"PS"	"PL"	"S"	"L"	"P"	"Control"	"PSL"	"SL"	"PS"	"PL"	"S"	"L"	"P"	"Control"	"PSL"	"SL"	"PS"	"PL"	"S"	"L"	"P"
1	53	48	47	90	40	51	73	28	53	63	54	41	21	40	60	20	35	42	62	42	43	73	29	31
2	65	70	57	74	42	53	72	22	38	62	83	50	28	83	40	28	42	40	61	37	32	44	27	30
3	46	46	28	60	59	56	63	29	47	70	40	54	38	76	50	53	44	24	43	37	32	49	33	32
4	55	56	47	59	32	45	69	23	41	59	46	72	47	70	18	34	54	27	40	42	35	65	30	40
5	52	68	70	76	39	53	65	22	21	47	66	73	41	56	34	38	46	44	67	32	36	57	37	14
6	65	69	53	54	32	51	68	39	41	43	42	50	21	59	36	40	45	26	60	24	34	48	26	17
7	86	64	74	61	50	59	67	36	50	42	65	48	41	55	24	34	43	38	80	30	35	60	25	27
8	50	64	38	70	53	53	74	32	48	82	69	40	50	54	38	58	39	34	64	40	26	45	25	20
9	75	62	58	52	52	56	71	34	38	50	46	67	48	33	44	50	25	35	62	28	32	39	27	31
10	83	65	57	64	42	55	77	35	40	65	67	46	38	65	25	34	45	35	44	52	35	57	30	25
11	64	64	62	54	52	46	78	22	12	65	45	58	40	35	51	38	35	34	54	42	45	40	26	25
12	54	65	65	70	53	53	72	23	32	68	46	69	50	65	56	56	42	42	65	32	46	56	23	23
13	58	53	53	55	58	58	73	29	31	64	56	65	35	51	56	56	44	32	32	35	42	35	26	26
14	70	52	52	56	32	51	71	26	21	65	56	53	39	53	54	52	54	35	64	35	35	54	29	25
15	66	51	42	58	39	57	78	21	47	65	64	34	59	54	35	63	46	36	65	32	36	57	23	24
16	65	54	53	65	32	56	74	25	42	62	45	46	32	52	48	65	45	43	35	36	36	55	32	21
17	79	56	56	54	59	53	75	25	35	64	35	65	35	58	54	42	43	42	54	42	39	65	24	32
18	76	68	46	79	42	52	79	26	35	53	64	25	38	54	65	43	39	46	35	26	38	64	25	35
19	68	69	23	88	40	54	46	29	39	45	86	52	56	35	32	35	25	54	42	54	37	68	26	36
20	65	65	56	85	39	59	64	28	34	45	56	58	28	65	51	52	45	32	45	56	34	69	28	39
21	70	62	38	65	32	56	53	20	46	74	46	56	42	52	56	21	25	38	46	59	35	62	21	26
22	65	58	65	69	36	53	34	42	53	78	46	59	43	42	54	35	39	39	43	53	23	56	23	35
23	85	64	45	86	35	52	38	24	25	86	61	43	56	41	46	56	43	34	42	32	32	54	28	27
24	84	46	52	53	39	58	52	25	56	56	46	78	52	42	35	35	45	46	43	56	35	35	20	28
25	86	62	53	62	56	54	59	21	52	45	46	46	42	43	35	25	46	49	48	43	49	62	32	29
26	45	56	56	51	63	54	61	26	54	46	76	45	47	53	32	46	54	31	49	65	48	67	35	21
27	73	70	54	68	56	51	60	29	53	56	73	56	49	52	54	49	44	32	46	54	46	54	35	21
28	76	68	57	69	58	52	69	23	25	59	75	68	46	65	64	48	42	34	53	53	43	65	32	23
29	62	48	55	65	51	53	68	40	21	54	76	69	56	54	78	44	35	35	52	25	42	51	39	35
30	68	51	65	80	53	59	64	25	26	58	59	48	65	35	45	45	42	38	46	32	42	35	26	39
31	85	58	64	89	39	52	79	35	32	68	46	70	43	52	76	56	44	39	65	54	41	62	35	37
32	63	62	52	82	32	53	74	38	56	56	56	73	21	51	54	55	54	45	62	54	45	54	24	25
33	89	68	35	82	40	56	76	22	32	34	68	43	45	52	35	35	46	32	43	56	43	48	28	25
34	87	62	46	84	42	53	68	26	21	54	65	71	53	53	56	52	45	45	53	45	35	78	21	24
35	54	53	48	69	48	54	35	25	58	75	56	75	56	56	76	35	43	48	54	62	35	65	20	21
36	57	58	56	58	56	58	64	35	46	51	48	76	54	54	61	59	39	46	53	54	39	54	27	28
37	85	59	49	87	48	59	64	21	23	53	78	79	47	52	65	39	25	49	62	35	23	35	35	25
38	86	64	48	78	49	56	61	25	29	56	49	58	58	35	62	34	45	35	65	35	34	65	37	26
39	78	64	76	75	53	53	68	23	53	52	76	69	53	54	62	23	35	32	64	45	38	54	35	29
40	86	67	72	73	46	52	65	25	65	53	43	53	53	52	63	32	42	35	63	56	45	58	38	28
41	82	53	76	84	52	51	66	24	23	16	75	52	32	65	54	32	44	38	69	35	25	54	36	24
42	53	58	56	54	36	54	62	23	45	86	83	54	35	45	52	64	54	39	59	54	47	79	35	32
43	56	54	75	52	38	58	65	25	56	54	56	46	31	62	53	56	46	45	65	65	49	75	21	21
44	68	53	43	25	32	59	71	29	26	43	46	53	30	54	51	59	45	46	35	62	41	46	25	36
